n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,5,R F B H,BFRH,high_load,4,green,blue,1,1,5,5,green,blue,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
4,number,5,X J Q R,QJXR,high_load,4,green,yellow,3,1,4,6,green,green,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
4,number,5,M Q H L,HQML,high_load,4,green,purple,1,3,5,4,green,green,purple,purple,intermediate,n,300,50,300,250,400,150,200,150
4,number,5,B L J X,JLBX,high_load,4,red,purple,4,3,1,6,red,red,purple,purple,superior,n+3,400,150,200,150,300,250,300,50
4,number,5,F B L X,LBFX,high_load,4,green,red,6,1,4,2,green,green,red,red,superior,n+3,400,150,200,150,300,250,300,50
5,number,5,M J F H,FJMH,high_load,5,blue,gray,1,1,6,4,blue,blue,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
5,number,5,R B L J,LBRJ,high_load,5,green,blue,1,1,6,5,green,green,blue,blue,inferior,n-3,400,150,200,150,300,250,300,50
5,number,5,H Q L J,LQHJ,high_load,5,red,gray,2,3,4,6,red,red,gray,gray,intermediate,n,400,150,200,150,300,250,300,50
5,number,5,Q L J R,JLQR,high_load,5,blue,yellow,3,2,4,3,blue,blue,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
5,number,5,F X L B,LXFB,high_load,5,red,gray,5,3,4,3,red,red,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,5,B F Q J,QFBJ,high_load,5,red,black,6,2,1,5,red,red,black,black,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,5,Q X R M,RXQM,high_load,Some,red,blue,3,6,2,1,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
Some,Some,5,M R F J,FRMJ,high_load,Some,red,green,4,6,3,3,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,5,M R J L,JRML,high_load,Some,red,green,6,5,4,1,red,red,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,5,B M R J,RMBJ,high_load,Some,green,blue,1,5,4,3,green,green,blue,blue,partial,partial,400,150,200,150,300,250,300,50
Some,Some,5,M B H J,HBMJ,high_load,Some,green,yellow,4,5,1,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,5,M L F B,FLMB,high_load,Some,red,green,5,3,2,6,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,5,B H X J,XHBJ,high_load,Some,green,red,2,2,6,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,5,R H M F,MHRF,high_load,Some,green,red,2,3,1,6,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,R J X H,XJRH,high_load,All,red,black,4,5,4,3,red,red,black,black,partial,partial,300,50,300,250,400,150,200,150
All,All,5,R F L B,LFRB,high_load,All,blue,black,6,1,4,2,blue,blue,black,black,partial,partial,300,50,300,250,400,150,200,150
All,All,5,M R X L,XRML,high_load,All,red,blue,6,3,5,2,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,J X R Q,RXJQ,high_load,All,blue,gray,5,1,3,6,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,5,X L Q R,QLXR,high_load,2,green,purple,1,3,3,5,green,purple,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,5,F H Q X,QHFX,high_load,8,red,blue,5,3,1,6,red,red,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,5,B M L Q,LMBQ,high_load,10,green,red,4,2,3,6,green,green,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,5,Q X M L,MXQL,high_load,12,green,red,6,6,3,1,green,green,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
Between 3 and 5,filler_item,5,L X J R,JXLR,high_load,Between 3 and 5,green,black,5,3,5,3,green,green,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
More than 2,filler_item,5,F B M R,MBFR,high_load,More than 2,red,purple,1,4,3,5,red,purple,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
